"ID";"TCM_DN";"Rev";"ClientCode";"LastTrn";"LastTrnClient"
"4";"4355-GP-VD-FP092250004 Imported at  20-03-2023 11:13:58";;;"2122-TTMCP-00263";
"5";"4355-GP-VD-BC092250003 Imported at  20-03-2023 11:14:02";;;"2122-TTMCP-00207";
"6";"4355-GP-VD-BC092250002 Imported at  20-03-2023 11:14:05";;;"2122-TTMCP-01185";
"7";"4355-GP-VD-DS092250005 Imported at  20-03-2023 11:14:09";;;"2122-TTMCP-00263";
"8";"4355-GP-VD-PP092250001 Imported at  20-03-2023 11:14:13";;;;
"9";"4355-GP-VD-BD092250008 Imported at  20-03-2023 11:14:16";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"10";"4355-GP-VD-QP092250007 Imported at  20-03-2023 11:14:18";;;;
"11";"4355-GP-VD-BD092250009 Imported at  20-03-2023 11:14:21";;;"2122-TTMCP-00264";"RLPP-TCPTM-00066"
"12";"4355-GP-VD-QC092250006 Imported at  20-03-2023 11:14:23";;;"2122-TTMCP-00207";"RLPP-TCPTM-00026"
"13";"4355-GP-VD-BD092250010 Imported at  20-03-2023 11:14:26";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"14";"4355-GP-VD-BD092250013 Imported at  20-03-2023 11:14:28";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"15";"4355-GP-VD-BD092250015 Imported at  20-03-2023 11:14:30";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"16";"4355-GP-VD-BD092250011 Imported at  20-03-2023 11:14:33";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"17";"4355-GP-VD-BD092250012 Imported at  20-03-2023 11:14:35";;;"2122-TTMCP-00264";"RLPP-TCPTM-00066"
"18";"4355-GP-VD-BD092250018 Imported at  20-03-2023 11:14:37";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"19";"4355-GP-VD-BD092250020 Imported at  20-03-2023 11:14:40";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"20";"4355-GP-VD-BD092250016 Imported at  20-03-2023 11:14:43";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"21";"4355-GP-VD-BD092250014 Imported at  20-03-2023 11:14:45";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"22";"4355-GP-VD-BD092250023";;;"2122-TTMCP-00306";"RLPP-TCPTM-00073"
"23";"4355-GP-VD-BD092250021 Imported at  20-03-2023 11:14:52";;;"2122-TTMCP-00306";"RLPP-TCPTM-00073"
"24";"4355-GP-VD-BD092250017 Imported at  20-03-2023 11:14:56";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"25";"4355-GP-VD-BD092250025 Imported at  20-03-2023 11:14:59";;;"2122-TTMCP-00306";"RLPP-TCPTM-00073"
"26";"4355-GP-VD-BD092250019 Imported at  20-03-2023 11:15:02";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"27";"4355-GP-VD-BD092250022 Imported at  20-03-2023 11:15:06";;;"2122-TTMCP-00306";"RLPP-TCPTM-00073"
"28";"4355-GP-VD-BD092250026 Imported at  20-03-2023 11:15:09";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"29";"4355-GP-VD-BD092250028 Imported at  20-03-2023 11:15:13";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"30";"4355-GP-VD-BD092250024 Imported at  20-03-2023 11:15:17";;;"2122-TTMCP-00306";"RLPP-TCPTM-00073"
"31";"4355-GP-VD-BD092250027 Imported at  20-03-2023 11:15:22";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"32";"4355-GP-VD-BD092250030 Imported at  20-03-2023 11:15:27";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"33";"4355-GP-VD-BD092250033 Imported at  20-03-2023 11:15:29";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"34";"4355-GP-VD-BD092250029 Imported at  20-03-2023 11:15:32";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"35";"4355-GP-VD-BD092250035 Imported at  20-03-2023 11:15:36";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"36";"4355-GP-VD-BD092250032 Imported at  20-03-2023 11:15:40";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"37";"4355-GP-VD-BD092250031 Imported at  20-03-2023 11:15:43";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"38";"4355-GP-VD-BD092250034 Imported at  20-03-2023 11:15:46";;;"2122-TTMCP-00264";"RLPP-TCPTM-00067"
"39";"4355-GP-VD-RD092250040 Imported at  20-03-2023 11:15:51";;;"2122-TTMCP-00199";
"40";"4355-GP-VD-LG092250036 Imported at  20-03-2023 11:15:55";;;"2122-TTMCP-00207";
"41";"4355-GP-VD-LG092250037 Imported at  20-03-2023 11:16:00";;;"2122-TTMCP-00207";
"42";"4355-GP-VD-LG092250038 Imported at  20-03-2023 11:16:05";;;"2122-TTMCP-00207";"RLPP-TCPTM-00069"
"43";"4355-GP-VD-LG092250039 Imported at  20-03-2023 11:16:09";;;"2122-TTMCP-00207";"RLPP-TCPTM-00069"
"44";"4355-GP-VD-RD092250041 Imported at  20-03-2023 11:16:12";;;"2122-TTMCP-00199";
"45";"4355-GP-VD-LG092250045 Imported at  20-03-2023 11:16:15";;;;
"46";"4355-GP-VD-LG092250043 Imported at  20-03-2023 11:16:18";;;"2122-TTMCP-00207";"RLPP-TCPTM-00069"
"47";"4355-GP-VD-RD092250042 Imported at  20-03-2023 11:16:21";;;"2122-TTMCP-00199";
"48";"4355-GP-VD-LG092250046 Imported at  20-03-2023 11:16:26";;;;
"49";"4355-GP-VD-LG092250044 Imported at  20-03-2023 11:16:29";;;"2122-TTMCP-00207";"RLPP-TCPTM-00069"
"50";"4355-GP-VD-RD092250050 Imported at  20-03-2023 11:16:31";;;"2122-TTMCP-01245";
"51";"4355-GP-VD-RD092250048 Imported at  20-03-2023 11:16:34";;;"2122-TTMCP-00528";
"52";"4355-GP-VD-RD092250047 Imported at  20-03-2023 11:16:37";;;"2122-TTMCP-00502";
"53";"4355-GP-VD-FW092250051 Imported at  20-03-2023 11:16:41";;;;
"54";"4355-GP-VD-RD092250049 Imported at  20-03-2023 11:16:43";;;"2122-TTMCP-01161";
"55";"4355-GP-VD-FW092250055 Imported at  20-03-2023 11:16:46";;;"2122-TTMCP-01728";
"56";"4355-GP-VD-QP092250052 Imported at  20-03-2023 11:16:48";;;"2122-TTMCP-01103";"RLPP-TCPTM-00169"
"57";"4355-GP-VD-RD092250053 Imported at  20-03-2023 11:16:50";;;"2122-TTMCP-01161";
"58";"4355-GP-VD-QP092250056 Imported at  20-03-2023 11:16:53";;;"2122-TTMCP-01103";"RLPP-TCPTM-00169"
"59";"4355-GP-VD-FW092250060 Imported at  20-03-2023 11:16:55";;;"2122-TTMCP-02437";
"60";"4355-GP-VD-RD092250057 Imported at  20-03-2023 11:16:57";;;"2122-TTMCP-01161";
"61";"4355-GP-VD-RD092250054 Imported at  20-03-2023 11:17:00";;;"2122-TTMCP-01245";
"62";"4355-GP-VD-RD092250058 Imported at  20-03-2023 11:17:02";;;"2122-TTMCP-00502";
"63";"4355-GP-VD-QP092250061 Imported at  20-03-2023 11:17:05";;;"2122-TTMCP-02441";"RLPP-TCPTM-00285"
"64";"4355-GP-VD-RD092250063 Imported at  20-03-2023 11:17:11";;;"2122-TTMCP-01245";
"65";"4355-GP-VD-RD092250059 Imported at  20-03-2023 11:17:17";;;"2122-TTMCP-01161";
"66";"4355-GP-VD-RD092250065 Imported at  20-03-2023 11:17:20";;;"2122-TTMCP-01245";
"67";"4355-GP-VD-RD092250062 Imported at  20-03-2023 11:17:26";;;"2122-TTMCP-01161";
"68";"4355-GP-VD-FW092250066 Imported at  20-03-2023 11:17:29";;;"2122-TTMCP-01728";
"69";"4355-GP-VD-RD092250068 Imported at  20-03-2023 11:17:31";;;"2122-TTMCP-01245";
"70";"4355-GP-VD-RD092250064 Imported at  20-03-2023 11:17:33";;;"2122-TTMCP-01161";
"71";"4355-GP-VD-FW092250070 Imported at  20-03-2023 11:17:36";;;"2122-TTMCP-02594";
"72";"4355-GP-VD-QP092250067 Imported at  20-03-2023 11:17:38";;;"2122-TTMCP-01103";"RLPP-TCPTM-00168"
"73";"4355-GP-VD-QP092250071 Imported at  20-03-2023 11:17:40";;;;
"74";"4355-GP-VD-RD092250073 Imported at  20-03-2023 11:17:42";;;"2122-TTMCP-01161";
"75";"4355-GP-VD-DT092250075 Imported at  20-03-2023 11:17:44";;;;
"76";"4355-GP-VD-RD092250069 Imported at  20-03-2023 11:17:45";;;;
"77";"4355-GP-VD-LF092250076 Imported at  20-03-2023 11:17:48";;;"2122-TTMCP-00199";
"78";"4355-GP-VD-LF092250078 Imported at  20-03-2023 11:17:50";;;"2122-TTMCP-00199";
"79";"4355-GP-VD-RD092250072 Imported at  20-03-2023 11:17:54";;;;
"80";"4355-GP-VD-LF092250080 Imported at  20-03-2023 11:17:57";;;"2122-TTMCP-00312";
"81";"4355-GP-VD-RD092250074 Imported at  20-03-2023 11:18:00";;;;
"82";"4355-GP-VD-BC092250083 Imported at  20-03-2023 11:18:04";;;"2122-TTMCP-00391";"RLPP-TCPTM-00087"
"83";"4355-GP-VD-PL092250081 Imported at  20-03-2023 11:18:07";;;"2122-TTMCP-00321";"RLPP-TCPTM-00067"
"84";"4355-GP-VD-LF092250077 Imported at  20-03-2023 11:18:11";;;"2122-TTMCP-00199";
"85";"4355-GP-VD-GE092250085 Imported at  20-03-2023 11:18:16";;;"2122-TTMCP-00289";
"86";"4355-GP-VD-GL092250086 Imported at  20-03-2023 11:18:21";;;"2122-TTMCP-01814";
"87";"4355-GP-VD-LF092250079 Imported at  20-03-2023 11:18:25";;;"2122-TTMCP-00199";
"88";"4355-GP-VD-GP092250088 Imported at  20-03-2023 11:18:27";;;;
"89";"4355-GP-VD-PS092250082 Imported at  20-03-2023 11:18:30";;;"2122-TTMCP-00527";
"90";"4355-GP-VD-ES092250090 Imported at  20-03-2023 11:18:32";;;;
"91";"4355-GP-VD-PD092250084 Imported at  20-03-2023 11:18:36";;;"2122-TTMCP-00530";
"92";"4355-GP-VD-HN092250093 Imported at  20-03-2023 11:18:37";;;"2122-TTMCP-00531";
"93";"4355-GP-VD-GS092250095 Imported at  20-03-2023 11:18:39";;;;
"94";"4355-GP-VD-GS092250091 Imported at  20-03-2023 11:18:43";;;;
"95";"4355-GP-VD-GT092250087 Imported at  20-03-2023 11:18:52";;;"2122-TTMCP-00193";
"96";"4355-GP-VD-QP092250098 Imported at  20-03-2023 11:18:59";;;;
"97";"4355-GP-VD-RD092250096 Imported at  20-03-2023 11:19:02";;;"2122-TTMCP-00453";
"98";"4355-GP-VD-FW092250100 Imported at  20-03-2023 11:19:07";;;;
"99";"4355-GP-VD-PD092250089 Imported at  20-03-2023 11:19:11";;;;
"100";"4355-GP-VD-BC092250092 Imported at  20-03-2023 11:19:13";;;"2122-TTMCP-02593";
"101";"4355-GP-VD-RD092250103 Imported at  20-03-2023 11:19:16";;;"2122-TTMCP-00453";
"102";"4355-GP-VD-QP092250101 Imported at  20-03-2023 11:19:18";;;;
"103";"4355-GP-VD-FW092250097 Imported at  20-03-2023 11:19:21";;;;
"104";"4355-GP-VD-PD092250105 Imported at  20-03-2023 11:19:50";;;;
"105";"4355-GP-VD-GS092250094 Imported at  20-03-2023 11:19:54";;;;
"106";"4355-GP-VD-PD092250106 Imported at  20-03-2023 11:19:57";;;;
"107";"4355-GP-VD-IL092250108 Imported at  20-03-2023 11:20:00";;;"2122-TTMCP-00242";
"108";"4355-GP-VD-RD092250099 Imported at  20-03-2023 11:20:02";;;"2122-TTMCP-00453";
"109";"4355-GP-VD-RD092250102 Imported at  20-03-2023 11:20:06";;;"2122-TTMCP-00453";
"110";"4355-GP-VD-IT092250111 Imported at  20-03-2023 11:20:11";;;;
"111";"4355-GP-VD-EE092250113 Imported at  20-03-2023 11:20:14";;;"2122-TTMCP-00227";
"112";"4355-GP-VD-RD092250104 Imported at  20-03-2023 11:20:17";;;"2122-TTMCP-01215";
"113";"4355-GP-VD-PG092250107 Imported at  20-03-2023 11:20:23";;;"2122-TTMCP-00526";
"114";"4355-GP-VD-EB092250116 Imported at  20-03-2023 11:20:28";;;"2122-TTMCP-00259";"RLPP-TCPTM-00071"
"115";"4355-GP-VD-IS092250110 Imported at  20-03-2023 11:20:31";;;;
"116";"4355-GP-VD-ED092250118 Imported at  20-03-2023 11:20:33";;;"2122-TTMCP-00682";"RLPP-TCPTM-00135"
"117";"4355-GP-VD-IW092250112 Imported at  20-03-2023 11:20:36";;;"2122-TTMCP-00224";"RLPP-TCPTM-00050"
"118";"4355-GP-VD-EU092250121 Imported at  20-03-2023 11:20:37";;;"2122-TTMCP-00241";"RLPP-TCPTM-00060"
"119";"4355-GP-VD-IO092250109 Imported at  20-03-2023 11:20:40";;;"2122-TTMCP-00568";"RLPP-TCPTM-00123"
"120";"4355-GP-VD-IP092250123 Imported at  20-03-2023 11:20:42";;;"2122-TTMCP-00578";
"121";"4355-GP-VD-IK092250117 Imported at  20-03-2023 11:20:44";;;"2122-TTMCP-00572";
"122";"4355-GP-VD-IW092250126 Imported at  20-03-2023 11:20:47";;;"2122-TTMCP-00573";"RLPP-TCPTM-00123"
"123";"4355-GP-VD-IC092250115 Imported at  20-03-2023 11:20:50";;;"2122-TTMCP-00457";
"124";"4355-GP-VD-IC092250128 Imported at  20-03-2023 11:20:53";;;;
"125";"4355-GP-VD-IP092250122 Imported at  20-03-2023 11:20:56";;;"2122-TTMCP-00578";
"126";"4355-GP-VD-IP092250114 Imported at  20-03-2023 11:21:00";;;"2122-TTMCP-00227";
"127";"4355-GP-VD-EE092250120 Imported at  20-03-2023 11:21:03";;;"2122-TTMCP-00571";"RLPP-TCPTM-00130"
"128";"4355-GP-VD-BO092250131 Imported at  20-03-2023 11:21:07";;;"2122-TTMCP-00756";
"129";"4355-GP-VD-IO092250133 Imported at  20-03-2023 11:21:10";;;;
"130";"4355-GP-VD-IC092250127 Imported at  20-03-2023 11:21:13";;;;
"131";"4355-GP-VD-EE092250119 Imported at  20-03-2023 11:21:18";;;"2122-TTMCP-00571";"RLPP-TCPTM-00132"
"132";"4355-GP-VD-IR092250125 Imported at  20-03-2023 11:21:22";;;"2122-TTMCP-00574";
"133";"4355-GP-VD-BO092250132 Imported at  20-03-2023 11:21:25";;;"2122-TTMCP-00795";
"134";"4355-GP-VD-IP092250136 Imported at  20-03-2023 11:21:29";;;;
"135";"4355-GP-VD-EE092250138 Imported at  20-03-2023 11:21:32";;;"2122-TTMCP-00207";"RLPP-TCPTM-00053"
"136";"4355-GP-VD-IV092250124 Imported at  20-03-2023 11:21:35";;;"2122-TTMCP-00575";"RLPP-TCPTM-00123"
"137";"4355-GP-VD-IO092250130 Imported at  20-03-2023 11:21:38";;;"2122-TTMCP-00757";"RLPP-TCPTM-00137"
"138";"4355-GP-VD-ES092250141 Imported at  20-03-2023 11:21:41";;;"2122-TTMCP-02072";"RLPP-TCPTM-00285"
"139";"4355-GP-VD-EB092250137 Imported at  20-03-2023 11:21:43";;;"2122-TTMCP-00332";"RLPP-TCPTM-00078"
"140";"4355-GP-VD-ES092250143 Imported at  20-03-2023 11:21:46";;;"2122-TTMCP-00570";"RLPP-TCPTM-00130"
"141";"4355-GP-VD-IM092250129 Imported at  20-03-2023 11:21:49";;;;
"142";"4355-GP-VD-ID092250135 Imported at  20-03-2023 11:21:52";;;"2122-TTMCP-00755";"RLPP-TCPTM-00137"
"143";"4355-GP-VD-EE092250146 Imported at  20-03-2023 11:21:55";;;"2122-TTMCP-00207";"RLPP-TCPTM-00053"
"144";"4355-GP-VD-EE092250148 Imported at  20-03-2023 11:21:59";;;"2122-TTMCP-00207";"RLPP-TCPTM-00053"
"145";"4355-GP-VD-EE092250142 Imported at  20-03-2023 11:22:02";;;"2122-TTMCP-00207";"RLPP-TCPTM-00053"
"146";"4355-GP-VD-EE092250140 Imported at  20-03-2023 11:22:05";;;"2122-TTMCP-00207";"RLPP-TCPTM-00053"
"147";"4355-GP-VD-ID092250134 Imported at  20-03-2023 11:22:09";;;"2122-TTMCP-00755";"RLPP-TCPTM-00137"
"148";"4355-GP-VD-ES092250151 Imported at  20-03-2023 11:22:12";;;"2122-TTMCP-00503";"RLPP-TCPTM-00118"
"149";"4355-GP-VD-OL092250153 Imported at  20-03-2023 11:22:15";;;;
"150";"4355-GP-VD-ES092250145 Imported at  20-03-2023 11:22:20";;;"2122-TTMCP-01813";"RLPP-TCPTM-00286"
"151";"4355-GP-VD-ES092250147 Imported at  20-03-2023 11:22:22";;;"2122-TTMCP-00797";"RLPP-TCPTM-00139"
"152";"4355-GP-VD-ES092250139 Imported at  20-03-2023 11:22:27";;;"2122-TTMCP-00570";"RLPP-TCPTM-00130"
"153";"4355-GP-VD-MB092250156 Imported at  20-03-2023 11:22:31";;;;
"154";"4355-GP-VD-EE092250150 Imported at  20-03-2023 11:22:35";;;"2122-TTMCP-00207";"RLPP-TCPTM-00053"
"155";"4355-GP-VD-EE092250144 Imported at  20-03-2023 11:22:38";;;"2122-TTMCP-00207";"RLPP-TCPTM-00053"
"156";"4355-GP-VD-OM092250152 Imported at  20-03-2023 11:22:42";;;;
"157";"4355-GP-VD-DL092250155 Imported at  20-03-2023 11:22:45";;;;
"158";"4355-GP-VD-ES092250149 Imported at  20-03-2023 11:22:49";;;"2122-TTMCP-00570";"RLPP-TCPTM-00130"
"159";"4355-GP-VD-ML092250157 Imported at  20-03-2023 11:22:52";;;;
"160";"4355-GP-VD-DB092250154 Imported at  20-03-2023 11:22:55";;;;
"361";"4355-GP-VD-GE094540002 Imported at  23-03-2023 05:50:09";;;;
"362";"4355-GP-VD-GE094540005 Imported at  23-03-2023 05:50:12";;;;
"363";"4355-GP-VD-DT094540004 Imported at  23-03-2023 05:50:16";;;;
"364";"4355-GP-VD-GE094540003 Imported at  23-03-2023 05:50:20";;;;
"365";"4355-GP-VD-PP094540001 Imported at  23-03-2023 05:50:22";;;"2122-TTMCP-00450";
"366";"4355-GP-VD-DS094540007 Imported at  23-03-2023 05:50:24";;;;
"367";"4355-GP-VD-PL094540009 Imported at  23-03-2023 05:50:27";;;"2122-TTMCP-00206";
"368";"4355-GP-VD-DT094540008 Imported at  23-03-2023 05:50:30";;;;
"369";"4355-GP-VD-QC094540012 Imported at  23-03-2023 05:50:33";;;"2122-TTMCP-00314";"RLPP-TCPTM-00061"
"370";"4355-GP-VD-QC094540014 Imported at  23-03-2023 05:50:36";;;"2122-TTMCP-00206";"RLPP-TCPTM-00035"
"371";"4355-GP-VD-DT094540006 Imported at  23-03-2023 05:50:39";;;;
"372";"4355-GP-VD-PS094540010 Imported at  23-03-2023 05:50:42";;;"2122-TTMCP-00230";
"373";"4355-GP-VD-GL094540017 Imported at  23-03-2023 05:50:44";;;;
"374";"4355-GP-VD-PQ094540011 Imported at  23-03-2023 05:50:47";;;"2122-TTMCP-01213";
"375";"4355-GP-VD-QC094540013 Imported at  23-03-2023 05:50:49";;;"2122-TTMCP-00206";"RLPP-TCPTM-00036"
"376";"4355-GP-VD-QP094540019 Imported at  23-03-2023 05:50:53";;;"2122-TTMCP-00244";"RLPP-TCPTM-00061"
"377";"4355-GP-VD-FP094540015 Imported at  23-03-2023 05:50:58";;;"2122-TTMCP-00369";
"378";"4355-GP-VD-QP094540022 Imported at  23-03-2023 05:51:03";;;;
"379";"4355-GP-VD-HN094540016 Imported at  23-03-2023 05:51:08";;;"2122-TTMCP-00832";
"380";"4355-GP-VD-QP094540024 Imported at  23-03-2023 05:51:13";;;;
"381";"4355-GP-VD-BC094540018 Imported at  23-03-2023 05:51:16";;;"2122-TTMCP-00545";"RLPP-TCPTM-00123"
"382";"4355-GP-VD-QP094540027 Imported at  23-03-2023 05:51:18";;;;
"383";"4355-GP-VD-QP094540021 Imported at  23-03-2023 05:51:22";;;;
"384";"4355-GP-VD-QP094540029 Imported at  23-03-2023 05:51:25";;;;
"385";"4355-GP-VD-QP094540020 Imported at  23-03-2023 05:51:28";;;"2122-TTMCP-00833";"RLPP-TCPTM-00150"
"386";"4355-GP-VD-QP094540032 Imported at  23-03-2023 05:51:32";;;;
"387";"4355-GP-VD-QP094540023 Imported at  23-03-2023 05:51:35";;;;
"388";"4355-GP-VD-QP094540026 Imported at  23-03-2023 05:51:38";;;;
"389";"4355-GP-VD-QP094540025 Imported at  23-03-2023 05:51:43";;;;
"390";"4355-GP-VD-QP094540034 Imported at  23-03-2023 05:51:46";;;"2122-TTMCP-02572";
"391";"4355-GP-VD-QP094540028 Imported at  23-03-2023 05:51:50";;;;
"392";"4355-GP-VD-QP094540037 Imported at  23-03-2023 05:51:53";;;;
"393";"4355-GP-VD-QP094540031 Imported at  23-03-2023 05:51:56";;;"2122-TTMCP-02591";
"394";"4355-GP-VD-QP094540030 Imported at  23-03-2023 05:52:01";;;;
"395";"4355-GP-VD-QP094540033 Imported at  23-03-2023 05:52:05";;;"2122-TTMCP-02572";
"396";"4355-GP-VD-QP094540036 Imported at  23-03-2023 05:52:09";;;"2122-TTMCP-01390";"RLPP-TCPTM-00207"
"397";"4355-GP-VD-QP094540039 Imported at  23-03-2023 05:52:12";;;"2122-TTMCP-01937";"RLPP-TCPTM-00236"
"398";"4355-GP-VD-QP094540042 Imported at  23-03-2023 05:52:15";;;"2122-TTMCP-02021";"RLPP-TCPTM-00240"
"399";"4355-GP-VD-QP094540038 Imported at  23-03-2023 05:52:18";;;"2122-TTMCP-01937";"RLPP-TCPTM-00236"
"400";"4355-GP-VD-QP094540035 Imported at  23-03-2023 05:52:22";;;"2122-TTMCP-02572";
"401";"4355-GP-VD-QP094540044 Imported at  23-03-2023 05:52:25";;;"2122-TTMCP-00546";"RLPP-TCPTM-00127"
"402";"4355-GP-VD-QP094540041 Imported at  23-03-2023 05:52:27";;;"2122-TTMCP-02021";"RLPP-TCPTM-00240"
"403";"4355-GP-VD-QP094540043 Imported at  23-03-2023 05:52:31";;;;
"404";"4355-GP-VD-OP094540047 Imported at  23-03-2023 05:52:35";;;;
"405";"4355-GP-VD-BD094540049 Imported at  23-03-2023 05:52:37";;;;
"406";"4355-GP-VD-GE094540052 Imported at  23-03-2023 05:52:41";;;"2122-TTMCP-00230";
"407";"4355-GP-VD-DI094540048 Imported at  23-03-2023 05:52:44";;;;
"408";"4355-GP-VD-QP094540040 Imported at  23-03-2023 05:52:49";;;"2122-TTMCP-01694";"RLPP-TCPTM-00219"
"409";"4355-GP-VD-DI094540046 Imported at  23-03-2023 05:52:53";;;;
"410";"4355-GP-VD-HH094540054 Imported at  23-03-2023 05:52:56";;;;
"411";"4355-GP-VD-LG094540057 Imported at  23-03-2023 05:52:59";;;"2122-TTMCP-00244";"RLPP-TCPTM-00069"
"412";"4355-GP-VD-QP094540045 Imported at  23-03-2023 05:53:02";;;"2122-TTMCP-00449";"RLPP-TCPTM-00109"
"413";"4355-GP-VD-BC094540051 Imported at  23-03-2023 05:53:08";;;"2122-TTMCP-00691";"RLPP-TCPTM-00137"
"414";"4355-GP-VD-GE094540053 Imported at  23-03-2023 05:53:12";;;"2122-TTMCP-01729";
"415";"4355-GP-VD-LF094540059 Imported at  23-03-2023 05:53:16";;;"2122-TTMCP-00239";
"416";"4355-GP-VD-LF094540062 Imported at  23-03-2023 05:53:19";;;"2122-TTMCP-00239";
"417";"4355-GP-VD-GS094540050 Imported at  23-03-2023 05:53:23";;;"2122-TTMCP-01821";"RLPP-TCPTM-00241"
"418";"4355-GP-VD-LG094540056 Imported at  23-03-2023 05:53:25";;;"2122-TTMCP-00244";"RLPP-TCPTM-00069"
"419";"4355-GP-VD-PD094540067 Imported at  23-03-2023 05:53:29";;;;
"420";"4355-GP-VD-LG094540055 Imported at  23-03-2023 05:53:33";;;"2122-TTMCP-00244";"RLPP-TCPTM-00069"
"421";"4355-GP-VD-PD094540064 Imported at  23-03-2023 05:53:36";;;;
"422";"4355-GP-VD-GS094540058 Imported at  23-03-2023 05:53:38";;;"2122-TTMCP-01863";"RLPP-TCPTM-00241"
"423";"4355-GP-VD-LF094540061 Imported at  23-03-2023 05:53:40";;;"2122-TTMCP-00239";
"424";"4355-GP-VD-BD094540072 Imported at  23-03-2023 05:53:43";;;"2122-TTMCP-00383";"RLPP-TCPTM-00087"
"425";"4355-GP-VD-PD094540066 Imported at  23-03-2023 05:53:48";;;;
"426";"4355-GP-VD-LF094540060 Imported at  23-03-2023 05:53:51";;;"2122-TTMCP-00239";
"427";"4355-GP-VD-LF094540063 Imported at  23-03-2023 05:53:54";;;"2122-TTMCP-00240";
"428";"4355-GP-VD-BD094540069 Imported at  23-03-2023 05:53:57";;;"2122-TTMCP-00315";"RLPP-TCPTM-00058"
"429";"4355-GP-VD-BD094540071 Imported at  23-03-2023 05:54:00";;;"2122-TTMCP-00383";"RLPP-TCPTM-00087"
"430";"4355-GP-VD-PD094540065 Imported at  23-03-2023 05:54:05";;;;
"431";"4355-GP-VD-BD094540077 Imported at  23-03-2023 05:54:09";;;"2122-TTMCP-00474";"RLPP-TCPTM-00106"
"432";"4355-GP-VD-PD094540068 Imported at  23-03-2023 05:54:11";;;;
"433";"4355-GP-VD-BD094540074 Imported at  23-03-2023 05:54:15";;;"2122-TTMCP-00383";"RLPP-TCPTM-00087"
"434";"4355-GP-VD-BD094540076 Imported at  23-03-2023 05:54:18";;;"2122-TTMCP-00474";"RLPP-TCPTM-00106"
"435";"4355-GP-VD-BD094540070 Imported at  23-03-2023 05:54:21";;;"2122-TTMCP-00474";"RLPP-TCPTM-00106"
"436";"4355-GP-VD-BD094540082 Imported at  23-03-2023 05:54:25";;;"2122-TTMCP-00474";"RLPP-TCPTM-00106"
"437";"4355-GP-VD-BD094540081 Imported at  23-03-2023 05:54:30";;;"2122-TTMCP-00447";"RLPP-TCPTM-00106"
"438";"4355-GP-VD-BD094540079 Imported at  23-03-2023 05:54:33";;;"2122-TTMCP-00447";"RLPP-TCPTM-00106"
"439";"4355-GP-VD-BD094540073 Imported at  23-03-2023 05:54:37";;;"2122-TTMCP-00383";"RLPP-TCPTM-00087"
"440";"4355-GP-VD-BD094540075 Imported at  23-03-2023 05:54:40";;;"2122-TTMCP-00442";"RLPP-TCPTM-00103"
"441";"4355-GP-VD-FW094540086 Imported at  23-03-2023 05:54:43";;;"2122-TTMCP-00665";
"442";"4355-GP-VD-PG094540084 Imported at  23-03-2023 05:54:46";;;"2122-TTMCP-00407";
"443";"4355-GP-VD-BD094540078 Imported at  23-03-2023 05:54:50";;;"2122-TTMCP-00474";"RLPP-TCPTM-00106"
"444";"4355-GP-VD-SD094540087 Imported at  23-03-2023 05:54:52";;;"2122-TTMCP-02306";
"445";"4355-GP-VD-BD094540083 Imported at  23-03-2023 05:54:55";;;"2122-TTMCP-00474";"RLPP-TCPTM-00106"
"446";"4355-GP-VD-BD094540080 Imported at  23-03-2023 05:54:58";;;"2122-TTMCP-00447";"RLPP-TCPTM-00106"
"447";"4355-GP-VD-SC094540088 Imported at  23-03-2023 05:55:02";;;;
"448";"4355-GP-VD-RC094540085 Imported at  23-03-2023 05:55:06";;;;
"449";"4355-GP-VD-RD094540092 Imported at  23-03-2023 06:18:11";;;"2122-TTMCP-00367";
"450";"4355-GP-VD-RD094540089 Imported at  23-03-2023 06:18:12";;;"2122-TTMCP-00367";
"451";"4355-GP-VD-RD094540091 Imported at  23-03-2023 06:18:14";;;"2122-TTMCP-00367";
"452";"4355-GP-VD-RM094540093 Imported at  23-03-2023 06:18:17";;;"2122-TTMCP-00780";
"453";"4355-GP-VD-RD094540090 Imported at  23-03-2023 06:18:20";;;"2122-TTMCP-00367";
